,LotameID,y,operatingSystem,operatingSystemVersion,isMobile,mobileInputSelector,screenResolution,continent,subContinent,onPageTime,nextTime,user_active_days,total_visit_counts,total_unique_session,total_time_spent,time_spent_per_session,timeOnPage,containsVideo,browser_Chrome,browser_Samsung_Internet,mobileDeviceBranding_Huawei,mobileDeviceBranding_Neffos,mobileDeviceBranding_Nokia,mobileDeviceBranding_OPPO,mobileDeviceBranding_Razer,mobileDeviceBranding_Realme,mobileDeviceBranding_Samsung,mobileDeviceBranding_Vivo,mobileDeviceBranding_Windows,mobileDeviceBranding_Xiaomi,mobileDeviceModel_1819,mobileDeviceModel_3.2,mobileDeviceModel_CPH1801,mobileDeviceModel_CPH1823,mobileDeviceModel_CPH1931,mobileDeviceModel_ELE-L29,mobileDeviceModel_EML-L29,mobileDeviceModel_JKM-LX2,mobileDeviceModel_LDN-LX2,mobileDeviceModel_MAR-LX2,mobileDeviceModel_MHA-L29,mobileDeviceModel_Phone_2,mobileDeviceModel_RMX1941,mobileDeviceModel_RNE-L22,mobileDeviceModel_Redmi_6A,mobileDeviceModel_Redmi_Note_9S,mobileDeviceModel_SM-A505F,mobileDeviceModel_SM-G610F,mobileDeviceModel_SM-G960F,mobileDeviceModel_SM-J600G,mobileDeviceModel_SM-J730G,mobileDeviceModel_SM-N770F,mobileDeviceModel_SM-N950F,mobileDeviceModel_SM-N960F,mobileDeviceModel_SM-N970F,mobileDeviceModel_SM-N975F,mobileDeviceModel_VOG-L29,mobileDeviceModel_Windows,mobileDeviceModel_X00TD,mobileDeviceModel_Y6,mobileDeviceModel_YAL-L21,language_en-my,language_en-sa,language_en-us,language_ms,language_ms-my,country_Hong_Kong,country_Malaysia,region_Brunei-Muara_District,region_Federal_Territory_of_Kuala_Lumpur,region_Johor,region_Kedah,region_Labuan_Federal_Territory,region_Negeri_Sembilan,region_Penang,region_Perak,region_Sarawak,region_Selangor,city_Ampang_Jaya,city_Bandar_Seri_Begawan,city_Batu_Caves,city_Batu_Pahat,city_Ipoh,city_Johor_Bahru,city_Kajang,city_Kuala_Lumpur,city_Labuan,city_Miri,city_Petaling_Jaya,city_Puchong,city_Rawang,city_Seremban,city_Shah_Alam,city_Sungai_Jawi,city_Sungai_Petani,city_Telok_Panglima_Garang,sec_general,sec_home,sec_lifestyle,sec_my,sec_news,sec_opinion,sec_property,sec_rayahavoc2022,sec_search,sec_sports,sec_world,sub_sec_2022,sub_sec_amp,sub_sec_badminton,sub_sec_columnists,sub_sec_crime-courts,sub_sec_football,sub_sec_fun,sub_sec_government-public-policy,sub_sec_groove,sub_sec_heal,sub_sec_jom,sub_sec_leaders,sub_sec_letters,sub_sec_makan,sub_sec_nation,sub_sec_news,sub_sec_others,sub_sec_politics,sub_sec_region,sub_sec_seismik,sub_sec_sunday-vibes,sub_sec_tennis,sub_sec_world,base_url_https://says.com/,base_url_https://www.nst.com.my/
11,debc5687c4f166fba9ae0f460f4484a,2,False,9,True,True,4,False,True,81894,125971,10,1123,12,1768.0,131.0,44077,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,81f5fed7165c2ab7995465dbf6d5ee61,1,True,0,False,False,19,False,True,81,132531,7,634,7,101631.0,632.0,132450,False,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,81f5fed7165c2ab7995465dbf6d5ee61,1,True,0,False,False,19,False,True,132531,244793,7,634,7,101631.0,632.0,112262,False,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,81f5fed7165c2ab7995465dbf6d5ee61,1,True,0,False,False,19,False,True,244793,320518,7,634,7,101631.0,632.0,75725,False,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,81f5fed7165c2ab7995465dbf6d5ee61,1,True,0,False,False,19,False,True,320518,552388,7,634,7,101631.0,632.0,231870,False,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
18,81f5fed7165c2ab7995465dbf6d5ee61,1,True,0,False,False,19,False,True,552388,553020,7,634,7,101631.0,632.0,632,False,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,81f5fed7165c2ab7995465dbf6d5ee61,1,True,0,False,False,19,False,True,553020,575808,7,634,7,101631.0,632.0,22788,False,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,81f5fed7165c2ab7995465dbf6d5ee61,1,True,0,False,False,19,False,True,351,152685,7,634,7,101631.0,1031.0,152334,False,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,81f5fed7165c2ab7995465dbf6d5ee61,1,True,0,False,False,19,False,True,152685,259845,7,634,7,101631.0,1031.0,107160,False,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,81f5fed7165c2ab7995465dbf6d5ee61,1,True,0,False,False,19,False,True,259845,380605,7,634,7,101631.0,1031.0,120760,False,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
23,81f5fed7165c2ab7995465dbf6d5ee61,1,True,0,False,False,19,False,True,380605,507746,7,634,7,101631.0,1031.0,127141,False,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
24,81f5fed7165c2ab7995465dbf6d5ee61,1,True,0,False,False,19,False,True,507746,686228,7,634,7,101631.0,1031.0,178482,False,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
25,81f5fed7165c2ab7995465dbf6d5ee61,1,True,0,False,False,19,False,True,686228,706451,7,634,7,101631.0,1031.0,20223,False,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,81f5fed7165c2ab7995465dbf6d5ee61,1,True,0,False,False,19,False,True,706451,831911,7,634,7,101631.0,1031.0,125460,False,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
27,81f5fed7165c2ab7995465dbf6d5ee61,1,True,0,False,False,19,False,True,831911,832201,7,634,7,101631.0,1031.0,290,False,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,81f5fed7165c2ab7995465dbf6d5ee61,1,True,0,False,False,19,False,True,832201,853700,7,634,7,101631.0,1031.0,21499,False,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,81f5fed7165c2ab7995465dbf6d5ee61,1,True,0,False,False,19,False,True,853700,877493,7,634,7,101631.0,1031.0,23793,False,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,81f5fed7165c2ab7995465dbf6d5ee61,1,True,0,False,False,19,False,True,877493,961782,7,634,7,101631.0,1031.0,84289,False,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,81f5fed7165c2ab7995465dbf6d5ee61,1,True,0,False,False,19,False,True,961782,974909,7,634,7,101631.0,1031.0,13127,False,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,81f5fed7165c2ab7995465dbf6d5ee61,1,True,0,False,False,19,False,True,76,124224,7,634,7,101631.0,1090.0,124148,False,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,81f5fed7165c2ab7995465dbf6d5ee61,1,True,0,False,False,19,False,True,489929,490222,7,634,7,101631.0,1090.0,293,False,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,81f5fed7165c2ab7995465dbf6d5ee61,1,True,0,False,False,19,False,True,490222,528434,7,634,7,101631.0,1090.0,38212,False,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,81f5fed7165c2ab7995465dbf6d5ee61,1,True,0,False,False,19,False,True,528434,768377,7,634,7,101631.0,1090.0,239943,False,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,81f5fed7165c2ab7995465dbf6d5ee61,1,True,0,False,False,19,False,True,768377,851856,7,634,7,101631.0,1090.0,83479,False,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,81f5fed7165c2ab7995465dbf6d5ee61,1,True,0,False,False,19,False,True,851856,952213,7,634,7,101631.0,1090.0,100357,False,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
39,81f5fed7165c2ab7995465dbf6d5ee61,1,True,0,False,False,19,False,True,952213,1075408,7,634,7,101631.0,1090.0,123195,False,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
40,81f5fed7165c2ab7995465dbf6d5ee61,1,True,0,False,False,19,False,True,1075408,1090144,7,634,7,101631.0,1090.0,14736,False,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
